Month,Apple Picking Season,April Fool's Day Pranks,Armistice Day,Autumn Equinox Meaning,Back to School Night for Parents,Back to School Outfit Ideas,Back to School Supplies,Bastille Day Events,Black Friday Deals,Breast Cancer Awareness Month Activities,Canada Day Fireworks,Cherry Blossom Bloom Dates,Cherry Blossom Festival Events,Cherry Harvest Time,Chinese Lantern Festival Activities,Chinese New Year Traditions,Christmas Tree Farms Near Me,Cinco de Mayo Recipes,Coachella Festival Dates,Cold Symptoms,Columbus Day Sales,Common Application,Corn Mazes,Cyber Monday Sales,Day of the Dead Celebrations,Diwali Celebration Ideas,Earth Day Activities,Easter Egg Hunt Ideas,Eid al-Adha,Fall Foliage Prediction,Fall Harvest Festival Near Me,Fall of Saigon,Fall Semester Start Dates,Father's Day Gifts,First Day of Spring Celebrations,Fourth of July Fireworks Near Me,Golden Globes,Graduation Ceremony Ideas,Grandparents Day,Groundhog Day,Guy Fawkes Night Fireworks,Halloween Costume Ideas,Hanukkah Candle Lighting Schedule,High School Prom Themes,Hiroshima Bombing,Holiday Gift Ideas,Homecoming Dance Ideas,Hurricane Season Prep,International Women's Day Events,International Yoga Day Events,King's Day in the Netherlands,Kwanzaa Principles,Labor Day Weekend Getaways,Mardi Gras Events,Memorial Day Weekend Travel,Mid-Autumn Festival Traditions,Monsoon Season Destinations,Mother's Day Gifts,NBA Finals Schedule,NCAA March Madness Bracket,New Year's Eve Party Ideas,New Year's Resolutions,NFC Championship,NFL Draft Predictions,Oktoberfest Celebrations Near Me,Parent-Teacher Conference Tips,Passover Meal Recipes,Pearl Harbor Attack,Pride Month Events,Pumpkin Carvings,Pumpkin Patch Near Me,Ramadan Fasting,Rosa Parks Day,Rosh Hashanah Traditions,Science Fair Project Ideas,September 11 Attacks,Ski Resorts,Spring Break Travel Destinations,St. Patrick's Day Parade,Summer Camp Registration,Summer Solstice Festivals,Summer Vacation Destinations,Sunflower Field Locations,Super Bowl Party Recipes,Teacher Appreciation Week,Thanksgiving Dinner Recipes,Trick or Treat,Tropical Storms,Tulip Festival Dates,US Open Tennis,Valentine's Day Gift Ideas,Veterans Day Parade,Wimbledon Matches Schedule,Winter Solstice Celebrations,Winter Storm Preparedness,World Environment Day Activities,World Mental Health Day,Yom Kippur Fasting Tips
2022-10,43.8,0,4.2,1,0,0,1,0,2.6,25.2,0,0,0,0,0,2.2,2.4,0.2,0,40,33.2,89,66.6,2.2,36.4,42.4,1,0,1,26.6,55,2,0,0,0,0,0,0,5.2,1,26,47.2,0,0,14.6,16.2,19,0,0,6.8,0,1.2,0,4.6,0,0,0,0,0,0,0,1,2.2,2.2,20,0,0,12.6,0,38.8,38.6,1,17.2,0,59.8,7.8,30.4,0,0.2,0,0,0,0,0,0,16,45.4,35.2,0,0,0,5,0,0,0,1,26.4,0
2022-11,8.75,0,21.5,0,0,0,0.5,0,30.25,0,0,0,0,0,0,3.5,36.75,0,0,46.75,1.25,69.25,1.75,30.75,8.5,0,1,0,1,0,0,1.75,0,0,0,0,0.5,0,4,1,2.5,1.25,0,0,14.75,44.5,0,25,0,0,0,3,0,6.25,0,0,0,0,0,0,2.75,2.25,2,4.25,0,0,8.25,15.25,0,0.25,0.5,1,40,0,63.75,10,45,0,0.25,5.5,0,0,0,0,0,50.25,2,24.75,4.75,0,0,20.25,0,16.25,0,0,1,0
2022-12,0,0,1.5,0,0,0,1,0,1,0,0,0,0,0,0,11.5,17.75,0.5,0,55.75,0,52.5,0,2.25,0,0,1,0,1,0,0,1.75,0,0,0,0,2.75,13.5,2.5,1.75,0,0.75,19.5,25,14.25,56.75,0,0,0,0,0,34.5,0,8.5,0,0,0,0,0.25,0,34,22.25,3,5.75,0,0,0,29,0,0,0,1,13.5,0,45.75,6.25,65,14.5,0,14,0,23.5,0,0,0,3,1.25,11.5,6,0,2.75,0,0,45.5,25,1.25,1.25,0
2023-01,2.8,0,1.8,0,0,0,1,0,0,0,0,0,0,0,0,34.8,0,0,10.2,39,0,56.8,0,1,0,0,1.6,0.6,1.2,0,0,1.8,0,0,0,0,24.4,20.4,3.6,22.6,0,1,20,0,15.2,4.8,0,0,1,0,0,2.8,0,29,0,0,0,0.6,0.8,0,0,26,38.2,11.6,0,0,0,23.8,0.8,0,0,2,51.4,0,81,7.6,65.4,46.2,2.2,72.6,0,44.2,0,8.4,0,0,1,8.8,19.8,0.4,35.8,0,0,0,5,1,1,0
2023-02,4.5,0,2,1.25,0,7.25,0.5,0,0,0,0,0,17,0,0,3.25,0,0,14,37.25,0,49,0.75,0.5,2,0,2.25,3.75,1.75,0,0,2.5,0,0,0,0,1.25,41.5,3.25,3.5,0,1,0,0,20.25,3.25,0,0,3.5,0,0,0.5,0,62.5,0,0,0,2.25,0,1.5,0,1.5,3.5,7.25,0,0,0,28.5,3,0,0,4,60.75,0,73.5,8,41.5,48.5,9.25,76,0,41.5,0,29.5,0,0,1,9.75,42.25,0,42.25,0,0,0,0,0,1,0
2023-03,5.25,16.75,2,3,7.5,0,0.75,0,0,0,0,0,64.75,0,0,2.75,0,0.5,13.75,32.5,0,47,0,1,3.25,0,5.75,15,3.25,0,0,3.25,0,0.75,25,0,1,47.75,3,1.5,0,0.25,0,0,23.25,2.25,0,0,27.25,0,0,0.5,0,5.25,2.5,18.25,0,6,0.75,36,0,1,1.25,9,0,0,5.75,32.25,3,0,0,43,39.75,0,50.5,8,30.75,26.5,43,77.75,0,65.75,0,0,0.5,0,1,10,65.5,0,0.75,0,0,0,0,1.25,1,0
2023-04,7.2,4.2,1.4,0,0,0,1,0,0,0,0,0,36.4,0,0,1.8,0,25.2,49.8,27.6,0,42.4,0.4,1,1.8,0,23.8,16.6,10.6,0,0,5.2,12.8,1.6,0,0,0,49.2,3.2,1.2,0,0.8,0,0,23,3.6,0,0,1.2,0,20,0,0,2.4,9,0,0,13.6,2.6,0.8,0,0.6,1,25.4,0,0,24.4,32.4,6.2,0,0,15.8,23.4,0,40.6,10.6,18.6,0,0.4,87.2,0,64,0,0,4.2,0,1,9.6,78.8,0,0,0,0,0,0,5,1,0
2023-05,8,0,2,0,0,0,1,0,0,0,1.25,0,0,0,0,2,0,0.5,0,25,0,42.5,0,0.75,0,0,1.75,0,10,0,0,3.75,0,12.5,0,0,0,78.5,4.75,1,0,1,0,0,26,3.5,0,0,1.25,0,0,0.25,0,2.5,44,0,0,21.25,32.75,0,0,0.5,1,1,0,0,0,26.5,32.5,0,0,1.25,22.25,0,26.25,11.25,13.25,0,0,75,0,84.25,25,0,25.25,0,1,13.75,35.25,0,0,0.5,0,0,0,25.5,1,0
2023-06,8.75,0,1,0,0,0,2,2.5,0,0,20,0,0,13,0,1.25,0,0,0,23,0,41.75,0.75,1,0,0,1.25,0,42.25,0,0,1.5,0,33.25,0,9,0,53.75,4,1.25,0,1,0,0,16,4,0,0,0.5,49.75,0,0.25,0,2.75,0,0,0,1,29,0,0,0.25,1,1,0,0,0,12.75,32.75,0,0,1.5,11.5,0,10.75,5.5,14.5,0,0,56.75,34.75,65.75,0,0,0,0,1,20.75,0,1,0,0,4.75,0,0,23.75,1,0
2023-07,16,0,1,0,0,43.4,9.2,25.8,0,10.4,7.4,0,0,0,0,0,0,0.2,0,22.4,0,46.6,1.4,1,0,0,0.8,0,2,3,0,1,0,1,0,16.8,0,25.4,6,1,0,2,16,0,54.2,4.4,0,0,0,0,0,0.2,4.2,3.2,0,0,0,0.2,0,0,0,2.2,1.4,0.6,0,0,0,14.2,2.4,0,0,1.2,3.4,0,13,5.6,17.4,0,0,31.6,0,41.8,0,0,0,0,1.4,12.4,0,1.2,0.2,0.2,28.4,0,0,0,1,0
2023-08,52.25,0,1,1.5,23.5,59.75,7.75,0,0,0,0,0,0,0,21,0.75,0,0,0,26,0,56.5,6,1.25,0,0,1,0,1,23.25,0,1.25,19.5,3,0,0,0,0,8.75,1,0,5.5,0,0,35.75,4.5,11.25,0,0.25,0,0,0,44,3,0,0,0,0,0,0,0,0.5,1.75,2.75,0,0,0,11.75,1,0,1.25,1,8.5,0,39.5,6,20.5,0,0,14.75,0,12.75,0,0,0,0,2.25,53.75,10.75,13.75,0,0.5,0,0,0,0,1.25,0
2023-09,86.25,0,1,31,71.25,11.5,1.25,0,0.5,20.25,0,0,0,0,0,2.5,0.75,0,0,31.75,11,72,25.5,1,5.25,1.5,1,0,1.25,55.5,25.5,1.5,0,0.5,0,0,0,23,41,1,0,13.75,0,0,18.25,6.25,53.75,0,0.5,0,0,0.25,0,5,0,0,0,0,0,0,0,0.5,2.5,2.75,0,0,0,14.75,0,1.75,6.75,1,13.5,34,62.5,33.25,24,0,0.25,4,0,7.75,0,0,0,2.25,4.75,40.25,7,24.75,0.25,1,0,0,0,0,4.25,25
2023-10,44,0,5,2,8.2,0,1,0,2.8,22.6,0,0,0,0,0,2,2,0,0,35.2,29,89,46,2.2,35.8,25.2,0.8,0,1,21.4,49.2,1.6,0,0,0,0,0,11,5.2,1,18.2,39.4,0,0,17.2,14.4,12.6,0,0.4,0,0,1.4,0,4.2,0,0,0,0,0,0,0.8,0.8,2.2,2.6,0,0,0,14.8,0,30.8,24.8,1,15.6,0,62.8,8.8,28.6,0,0.6,5.2,0,0,0,0,0,12.4,40.6,21.2,10.8,0,0.2,4.2,0,0,0,0,24.4,0
2023-11,9.5,0,32,0,0,0,0.75,0,35.25,0,0,0,5.75,0,0,3.75,28,0,0,40.25,0,65.25,2.75,28.5,8,21.25,0.75,0,1.75,0,0,2.25,23.5,0,0,0,0,18.5,3.25,1.75,10.5,1.25,0,0,22.25,39,0,0,0.25,0,0,3.25,0,6.25,0,0,0,0,0,0,3.5,1.5,2.75,5.5,0,0,0,18.25,0,0.5,0.5,1,34.25,0,61.25,7.75,39.75,11.75,0,7.75,0,0,0,0,0,46.5,2.25,11.5,0,0,1,27.5,0,6.5,0,0,1,0
2023-12,3,0,1.2,0,0,6.6,1,0,1,0,0,0,0,0,0,10.2,8.6,0,27.4,48.4,0,55,0.2,2,0,0,0.8,0.2,2.4,0,0,1.6,0,0,0,0,3.4,8,2.6,2,0,0.6,0,0,27.4,39.6,0,0,0.4,0,0,26.8,0,10.8,0,0,0,0,0.4,0,26,32.8,4.4,7.4,0,0,0,29.4,0.8,0,0,1.2,16.6,0,43.8,7.4,61,25.2,0,28.4,0,16.4,19,0,0,1.4,1,7.4,10.8,0,3.8,0,0,32.2,6,0,1,0
